i,j,r,z,p,T,rho,mu,tc,cp,x_N2,x_SiH4,x_H2,omega_N2,omega_SiH4,omega_H2,D_eff_N2,D_eff_SiH4,D_eff_H2,vz,vr
28,29,0.15749999999999997,0.20037735849056604,132.99031963367278,337.745192773304,0.001328252517293672,1.934606572978399e-05,0.0290748650447707,1042.9970840440321,0.99020160140169,0.00963631851248204,0.0001620800858279333,0.9889519838599046,0.011036342145168064,1.1673994927361241e-05,0.016116902829745042,0.015916657122815515,0.0666678437669662,-0.2912024080145108,-3.7017740926183675
28,30,0.15749999999999997,0.20716981132075474,132.98650938912783,334.0837807933892,0.0013427629858333819,1.9209054925320285e-05,0.02885492280865401,1042.2872454527785,0.9901958728255636,0.009636099804409324,0.00016802737002699798,0.9889517447379249,0.01103615284042837,1.2102421646629015e-05,0.015791200133927825,0.015587841340512719,0.06537699687863018,-0.32823072204222836,-3.6207175814706325
28,31,0.15749999999999997,0.21396226415094338,132.98216559497757,330.66520037923067,0.001356591823368017,1.9080883843035615e-05,0.028649547030529743,1041.6270570866168,0.9901867921574852,0.009638257735144883,0.00017495010736990658,0.9889487072517833,0.011038691629243374,1.2601118973415147e-05,0.015490043443548637,0.01528246614874781,0.0641781593553312,-0.2883910895027368,-3.3602468403248618
28,32,0.15749999999999997,0.22075471698113208,132.97763598204813,327.47198533797865,0.0013697632162135128,1.8960962225068695e-05,0.02845771304478551,1041.011972205357,0.9901766022869718,0.009640595442249825,0.00018280227077838466,0.9889453876550651,0.011041445567443799,1.3166777491148144e-05,0.01521145719624261,0.014998619418081952,0.06306384178824065,-0.17297127591279868,-2.887598723573482
28,33,0.15749999999999997,0.22754716981132073,132.97348686239366,324.48721960613864,0.0013823079323476708,1.8848703148457743e-05,0.02827844297526681,1040.4383246514665,0.9901662290170015,0.009642039080218937,0.00019173190277971207,0.9889430019061031,0.01104318802661369,1.3810067283199755e-05,0.014953750398280249,0.014734467643285102,0.06202683169781039,0.014772261778780174,-2.180545550872739
28,34,0.15749999999999997,0.23433962264150943,132.97041383544237,321.69467032290277,0.001394261563486157,1.8743529680672922e-05,0.028110801677174526,1039.903164281604,0.9901554696560139,0.009642567720283058,0.00020196262370307145,0.9889415555569575,0.011043897340500285,1.454710254210888e-05,0.014715395335660103,0.0144882718194264,0.061060265868416806,0.266870965455897,-1.230645532813658
28,35,0.15749999999999997,0.24113207547169813,132.96916286844524,319.0785861698922,0.0014056640705193148,1.8644866051774684e-05,0.027953894788994706,1039.4043926558593,0.9901425939643053,0.00964347521428514,0.00021393082140956372,0.9889395329197668,0.011045057755265842,1.5409324967437333e-05,0.01449513473411952,0.014258374342615694,0.06015757439689144,0.5708927229458987,-0.04108664661298307
28,36,0.15749999999999997,0.24792452830188677,132.97102060996934,316.6236943548553,0.001416565148939174,1.8552131740110145e-05,0.02780683636813142,1038.940775299429,0.9901238904020803,0.00964809420995236,0.00022801538796731887,0.9889330911311902,0.011050484836629421,1.642403218037353e-05,0.01429158596299594,0.014043139261041572,0.059312232473959094,0.9036382316497589,1.2778417029902807
28,37,0.15749999999999997,0.25471698113207547,132.975689328852,314.31544777482725,0.001426999947828782,1.846475887650566e-05,0.02766873381978585,1038.511272232422,0.9900946463825457,0.009661136945218625,0.00024421667223554713,0.9889168403695316,0.011065568383325262,1.759124714305027e-05,0.014103149415797064,0.013841191288570413,0.058518790298871186,1.2125595715807234,2.5430321467276347
28,38,0.15749999999999997,0.2615094339622641,132.98261211444733,312.140482003457,0.001437000331722288,1.8382239516524003e-05,0.027538696181424363,1038.1133830133547,0.9900530318311715,0.009685174051398423,0.00026179411743001616,0.9888879010084074,0.011093241377257212,1.885761433548545e-05,0.013927615181807589,0.013651299819964319,0.057772434043116064,1.4717133266325357,3.5875400388566803
28,39,0.15749999999999997,0.2683018867924528,132.99071744319545,310.0864227442712,0.001446592071789335,1.8304127516596447e-05,0.027415832372329807,1037.7427877791783,0.9900011508139315,0.009719592869782547,0.00027925631628588526,0.9888470961743087,0.011132788146138725,2.0115679552735602e-05,0.013762281010564226,0.013472383230201432,0.05706902002800485,1.6663914119878964,4.272162769095299
